ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DISTANCE
13930,13198,403
14107,13198,1044
14747,13198,1489
14771,13198,1499
10397,13204,404
11057,13204,468
11292,13204,1546
11298,13204,985
11618,13204,937
12266,13204,854
12478,13204,944
12889,13204,2039
12892,13204,2218
13303,13204,192
13930,13204,1005
14107,13204,1849
14747,13204,2554
14771,13204,2446
10397,13230,620
11057,13230,413
13930,13230,594
10397,13232,591
11057,13232,584
11292,13232,895
11618,13232,711
12889,13232,1521
12892,13232,1750
13204,13232,990
14107,13232,1444
14747,13232,1733
14771,13232,1855
11298,13241,485
10397,13244,332
11057,13244,511
11292,13244,872
11298,13244,431
11618,13244,946
12266,13244,468
12892,13244,1619
13204,13244,684
13930,13244,491
14107,13244,1264
11298,13256,469
12266,13256,316
11292,13264,964
14771,13264,329
10397,13277,147
10397,13296,952
11618,13296,209
13204,13296,1142
13930,13296,843
10397,13303,594
11057,13303,650
11292,13303,1709
11298,13303,1121
11618,13303,1085
12266,13303,964
12478,13303,1089
12889,13303,2174
12892,13303,2342
13204,13303,192
13930,13303,1197
14107,13303,1972
14747,13303,2724
14771,13303,2585
10397,13342,669
11292,13342,896
11298,13342,853
11618,13342,725
12266,13342,984
12889,13342,1524
12892,13342,1756
13204,13342,1066
13930,13342,67
14107,13342,1460
14747,13342,1694
14771,13342,1845
13930,13344,118
10397,13360,442
10397,13367,633
11292,13367,752
13930,13367,139
10397,13377,448
11298,13377,293
12266,13377,262
14771,13388,193
10397,13422,302
11298,13422,539
12266,13422,427
13930,13422,778
12892,13476,266
14107,13476,598
14771,13476,77
10397,13485,707
11292,13485,826
11618,13485,799
13204,13485,1109
13930,13485,108
11292,13486,679
10397,13487,907
11057,13487,930
11292,13487,680
11298,13487,852
11618,13487,1008
12266,13487,1034
12478,13487,1029
12889,13487,1299
12892,13487,1535
13204,13487,1310
13303,13487,1501
13930,13487,334
14107,13487,1276
14747,13487,1399
14771,13487,1589
10397,13495,425
11057,13495,651
11292,13495,1062
11298,13495,447
11618,13495,1167
12266,13495,305
12478,13495,1182
12889,13495,1500
12892,13495,1670
13204,13495,551
13303,13495,675
13930,13495,837
14107,13495,1300
14747,13495,2086
14771,13495,1911
10397,13502,1352
11292,13502,196
11298,13502,722
11618,13502,1795
12266,13502,927
12892,13502,666
13930,13502,1081
14771,13502,791
10397,13577,317
10397,13795,399
10397,13796,2130
11292,13796,957
12478,13796,2576
12889,13796,407
12892,13796,337
14107,13796,646
14747,13796,672
11292,13830,3302
11298,13830,3711
12892,13830,2486
13930,13830,4184
14107,13830,2845
14747,13830,2640
14771,13830,2338
10397,13851,761
11292,13851,495
11298,13851,175
12266,13851,395
12889,13851,986
12892,13851,1187
13930,13851,693
14107,13851,833
14747,13851,1519
14771,13851,1384
10397,13871,821
11292,13871,472
11298,13871,583
11618,13871,1134
12266,13871,781
12889,13871,1099
12892,13871,1330
13204,13871,1211
13930,13871,416
14107,13871,1037
14747,13871,1368
14771,13871,1433
11292,13891,819
11298,13891,1188
12889,13891,197
14107,13891,325
14747,13891,956
14771,13891,363
10397,13930,606
11057,13930,599
11292,13930,888
11298,13930,802
11618,13930,719
12266,13930,925
12478,13930,740
12889,13930,1514
12892,13930,1744
13204,13930,1005
13303,13930,1197
14107,13930,1440
14747,13930,1721
14771,13930,1846
10397,13931,516
11057,13931,290
11298,13931,1212
11618,13931,284
12266,13931,1201
13204,13931,655
13930,13931,717
